 format: day,hour,forecast,value  location:71_132 Start : 20140101 
 1,0200,+4,50.000000 
 1,0200,+7,55.000000 
 1,0200,+10,80.000000 
 1,0200,+13,90.000000 
 1,0200,+16,95.000000 
 1,0200,+19,95.000000 
 1,0200,+22,85.000000 
 1,0200,+25,55.000000 
 1,0200,+28,45.000000 
 1,0200,+31,55.000000 
 1,0200,+34,80.000000 
 1,0200,+37,95.000000 
 1,0200,+40,95.000000 
 1,0200,+43,95.000000 
 1,0200,+46,90.000000 
 1,0200,+49,75.000000 
 1,0500,+4,55.000000 
 1,0500,+7,80.000000 
 1,0500,+10,90.000000 
 1,0500,+13,95.000000 
 1,0500,+16,95.000000 
 1,0500,+19,85.000000 
 1,0500,+22,55.000000 
 1,0500,+25,45.000000 
 1,0500,+28,55.000000 
 1,0500,+31,80.000000 
 1,0500,+34,95.000000 
 1,0500,+37,95.000000 
 1,0500,+40,95.000000 
 1,0500,+43,90.000000 
 1,0500,+46,75.000000 
 1,0800,+4,70.000000 
 1,0800,+7,75.000000 
 1,0800,+10,80.000000 
 1,0800,+13,85.000000 
 1,0800,+16,75.000000 
 1,0800,+19,45.000000 
 1,0800,+22,35.000000 
 1,0800,+25,40.000000 
 1,0800,+28,70.000000 
 1,0800,+31,80.000000 
 1,0800,+34,90.000000 
 1,0800,+37,90.000000 
 1,0800,+40,80.000000 
 1,0800,+43,55.000000 
 1,0800,+46,50.000000 
 1,0800,+49,70.000000 
 1,0800,+52,85.000000 
 1,0800,+55,85.000000 
 1,1100,+4,75.000000 
 1,1100,+7,80.000000 
 1,1100,+10,85.000000 
 1,1100,+13,75.000000 
 1,1100,+16,45.000000 
 1,1100,+19,35.000000 
 1,1100,+22,40.000000 
 1,1100,+25,70.000000 
 1,1100,+28,80.000000 
 1,1100,+31,90.000000 
 1,1100,+34,90.000000 
 1,1100,+37,80.000000 
 1,1100,+40,55.000000 
 1,1100,+43,50.000000 
 1,1100,+46,70.000000 
 1,1100,+49,85.000000 
 1,1100,+52,85.000000 
 1,1400,+4,80.000000 
 1,1400,+7,85.000000 
 1,1400,+10,75.000000 
 1,1400,+13,45.000000 
 1,1400,+16,35.000000 
 1,1400,+19,40.000000 
 1,1400,+22,70.000000 
 1,1400,+25,80.000000 
 1,1400,+28,90.000000 
 1,1400,+31,90.000000 
 1,1400,+34,80.000000 
 1,1400,+37,55.000000 
 1,1400,+40,50.000000 
 1,1400,+43,70.000000 
 1,1400,+46,85.000000 
 1,1400,+49,85.000000 
 1,1700,+4,55.000000 
 1,1700,+7,50.000000 
 1,1700,+10,40.000000 
 1,1700,+13,35.000000 
 1,1700,+16,40.000000 
 1,1700,+19,65.000000 
 1,1700,+22,70.000000 
 1,1700,+25,75.000000 
 1,1700,+28,75.000000 
 1,1700,+31,70.000000 
 1,1700,+34,55.000000 
 1,1700,+37,50.000000 
 1,1700,+40,70.000000 
 1,1700,+43,85.000000 
 1,1700,+46,85.000000 
 1,2000,+4,65.000000 
 1,2000,+7,40.000000 
 1,2000,+10,35.000000 
 1,2000,+13,45.000000 
 1,2000,+16,75.000000 
 1,2000,+19,80.000000 
 1,2000,+22,85.000000 
 1,2000,+25,85.000000 
 1,2000,+28,80.000000 
 1,2000,+31,55.000000 
 1,2000,+34,45.000000 
 1,2000,+37,65.000000 
 1,2000,+40,75.000000 
 1,2000,+43,85.000000 
 1,2000,+46,90.000000 
 1,2000,+49,90.000000 
 1,2000,+52,80.000000 
 1,2000,+55,55.000000 
 1,2300,+4,40.000000 
 1,2300,+7,35.000000 
 1,2300,+10,45.000000 
 1,2300,+13,75.000000 
 1,2300,+16,80.000000 
 1,2300,+19,85.000000 
 1,2300,+22,85.000000 
 1,2300,+25,80.000000 
 1,2300,+28,55.000000 
 1,2300,+31,45.000000 
 1,2300,+34,65.000000 
 1,2300,+37,75.000000 
 1,2300,+40,85.000000 
 1,2300,+43,90.000000 
 1,2300,+46,90.000000 
 1,2300,+49,80.000000 
 1,2300,+52,55.000000 
 2,0200,+4,35.000000 
 2,0200,+7,45.000000 
 2,0200,+10,75.000000 
 2,0200,+13,80.000000 
 2,0200,+16,85.000000 
 2,0200,+19,85.000000 
 2,0200,+22,80.000000 
 2,0200,+25,55.000000 
 2,0200,+28,45.000000 
 2,0200,+31,65.000000 
 2,0200,+34,75.000000 
 2,0200,+37,85.000000 
 2,0200,+40,90.000000 
 2,0200,+43,90.000000 
 2,0200,+46,80.000000 
 2,0200,+49,55.000000 
 2,0500,+4,40.000000 
 2,0500,+7,75.000000 
 2,0500,+10,80.000000 
 2,0500,+13,85.000000 
 2,0500,+16,85.000000 
 2,0500,+19,80.000000 
 2,0500,+22,55.000000 
 2,0500,+25,45.000000 
 2,0500,+28,65.000000 
 2,0500,+31,75.000000 
 2,0500,+34,85.000000 
 2,0500,+37,90.000000 
 2,0500,+40,90.000000 
